,userid,product_category,productName,content,star_rating,review_ranking_score,time
30072,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92186,2023-03-22T10:45:44.563+00:00
30073,lkjn*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,닭가슴살 맛있습니다. 종류별 다양하고 식단관리도 할 수 있어서 좋네요.,5,-68.92186,2023-03-22T10:45:20.314+00:00
30074,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:49:37.262+00:00
30075,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:49:26.944+00:00
30076,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:49:16.816+00:00
30077,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:49:05.722+00:00
30078,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:48:56.882+00:00
30079,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:48:48.255+00:00
30080,mybi****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,골고루 담았는데 먹어보고 맛ㅈ있음 또 주문여~,5,-68.92222,2023-04-18T10:48:36.770+00:00
30081,qudt****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,뱌송빠루고 맛이엇어요,5,-68.92326,2023-04-01T12:06:48.700+00:00
